CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree.py
MEM 1.855469 1731279231.9201
MEM 28.902344 1731279232.0254
MEM 41.867188 1731279232.1256
MEM 53.386719 1731279232.2260
MEM 75.964844 1731279232.3265
MEM 94.031250 1731279232.4270
MEM 111.609375 1731279232.5274
MEM 177.898438 1731279232.6277
MEM 196.800781 1731279232.7283
MEM 185.640625 1731279232.8287
MEM 186.425781 1731279232.9293
MEM 187.140625 1731279233.0294
MEM 187.910156 1731279233.1298
MEM 188.667969 1731279233.2303
MEM 189.617188 1731279233.3307
MEM 190.261719 1731279233.4310
MEM 191.144531 1731279233.5312
MEM 191.800781 1731279233.6317
MEM 192.687500 1731279233.7321
MEM 193.570312 1731279233.8327
MEM 194.199219 1731279233.9331
MEM 195.070312 1731279234.0335
MEM 195.953125 1731279234.1357
MEM 196.582031 1731279234.2373
MEM 197.199219 1731279234.3381
MEM 198.113281 1731279234.4383
MEM 199.027344 1731279234.5384
MEM 199.640625 1731279234.6388
MEM 200.531250 1731279234.7393
MEM 201.171875 1731279234.8397
MEM 202.027344 1731279234.9398
MEM 202.660156 1731279235.0401
MEM 203.484375 1731279235.1403
MEM 204.371094 1731279235.2408
MEM 205.058594 1731279235.3411
MEM 205.953125 1731279235.4416
MEM 206.578125 1731279235.5420
MEM 207.449219 1731279235.6422
MEM 208.335938 1731279235.7424
MEM 208.960938 1731279235.8426
MEM 209.777344 1731279235.9429
MEM 210.656250 1731279236.0432
MEM 211.347656 1731279236.1438
MEM 212.164062 1731279236.2443
MEM 213.031250 1731279236.3449
MEM 213.667969 1731279236.4454
MEM 214.546875 1731279236.5458
MEM 215.171875 1731279236.6462
MEM 216.050781 1731279236.7467
MEM 216.929688 1731279236.8470
MEM 217.554688 1731279236.9473
MEM 218.433594 1731279237.0477
MEM 219.269531 1731279237.1484
MEM 219.929688 1731279237.2489
MEM 220.816406 1731279237.3492
MEM 221.382812 1731279237.4496
MEM 222.328125 1731279237.5501
MEM 223.152344 1731279237.6506
MEM 223.781250 1731279237.7510
MEM 224.652344 1731279237.8515
MEM 225.539062 1731279237.9518
MEM 226.175781 1731279238.0523
MEM 227.046875 1731279238.1525
MEM 227.929688 1731279238.2530
MEM 228.558594 1731279238.3534
MEM 229.386719 1731279238.4542
MEM 230.062500 1731279238.5544
MEM 230.949219 1731279238.6551
MEM 231.777344 1731279238.7555
MEM 232.390625 1731279238.8558
MEM 233.277344 1731279238.9560
MEM 234.101562 1731279239.0563
MEM 234.777344 1731279239.1570
MEM 235.597656 1731279239.2577
MEM 236.230469 1731279239.3583
MEM 237.093750 1731279239.4589
MEM 237.988281 1731279239.5596
MEM 238.617188 1731279239.6597
MEM 239.500000 1731279239.7603
MEM 240.378906 1731279239.8609
MEM 241.003906 1731279239.9614
MEM 241.820312 1731279240.0618
MEM 242.699219 1731279240.1623
MEM 243.324219 1731279240.2626
MEM 244.203125 1731279240.3629
MEM 244.765625 1731279240.4633
MEM 245.644531 1731279240.5638
MEM 246.527344 1731279240.6642
MEM 247.093750 1731279240.7644
MEM 247.933594 1731279240.8651
MEM 248.527344 1731279240.9656
MEM 249.410156 1731279241.0658
MEM 250.230469 1731279241.1660
MEM 250.792969 1731279241.2665
MEM 251.613281 1731279241.3671
MEM 252.242188 1731279241.4675
MEM 253.046875 1731279241.5679
MEM 253.929688 1731279241.6683
MEM 254.558594 1731279241.7686
MEM 255.382812 1731279241.8690
MEM 255.996094 1731279241.9695
MEM 256.878906 1731279242.0700
MEM 257.761719 1731279242.1709
MEM 258.375000 1731279242.2713
MEM 259.261719 1731279242.3717
MEM 260.105469 1731279242.4723
MEM 260.761719 1731279242.5729
MEM 261.683594 1731279242.6735
MEM 262.500000 1731279242.7741
MEM 263.125000 1731279242.8744
MEM 264.003906 1731279242.9747
MEM 264.628906 1731279243.0752
MEM 265.507812 1731279243.1758
MEM 266.375000 1731279243.2760
MEM 266.941406 1731279243.3767
MEM 267.828125 1731279243.4772
MEM 268.695312 1731279243.5779
MEM 269.324219 1731279243.6784
MEM 270.207031 1731279243.7788
MEM 270.789062 1731279243.8792
MEM 271.707031 1731279243.9795
MEM 272.589844 1731279244.0799
MEM 273.218750 1731279244.1806
MEM 274.027344 1731279244.2812
MEM 274.910156 1731279244.3816
MEM 275.542969 1731279244.4821
MEM 276.421875 1731279244.5826
MEM 277.046875 1731279244.6833
MEM 277.882812 1731279244.7837
MEM 278.746094 1731279244.8839
MEM 279.433594 1731279244.9844
MEM 280.250000 1731279245.0848
MEM 281.097656 1731279245.1850
MEM 281.742188 1731279245.2856
MEM 282.625000 1731279245.3861
MEM 283.257812 1731279245.4867
MEM 284.085938 1731279245.5876
MEM 285.007812 1731279245.6881
MEM 285.574219 1731279245.7883
MEM 286.457031 1731279245.8887
MEM 287.324219 1731279245.9892
MEM 287.929688 1731279246.0895
MEM 288.839844 1731279246.1898
MEM 289.453125 1731279246.2900
MEM 290.335938 1731279246.3905
MEM 291.148438 1731279246.4907
MEM 291.769531 1731279246.5909
MEM 292.656250 1731279246.6911
MEM 293.539062 1731279246.7914
MEM 294.167969 1731279246.8918
MEM 295.035156 1731279246.9923
MEM 295.667969 1731279247.0926
MEM 296.488281 1731279247.1932
MEM 297.371094 1731279247.2938
MEM 297.972656 1731279247.3941
MEM 298.871094 1731279247.4946
MEM 299.750000 1731279247.5948
MEM 300.386719 1731279247.6954
MEM 301.265625 1731279247.7959
MEM 302.082031 1731279247.8961
MEM 302.695312 1731279247.9967
MEM 303.578125 1731279248.0969
MEM 304.210938 1731279248.1979
MEM 305.078125 1731279248.2985
MEM 305.960938 1731279248.3989
MEM 306.613281 1731279248.4995
MEM 307.445312 1731279248.6001
MEM 307.921875 1731279248.7007
MEM 308.804688 1731279248.8010
MEM 309.691406 1731279248.9016
MEM 310.253906 1731279249.0020
MEM 311.132812 1731279249.1025
MEM 312.011719 1731279249.2030
MEM 312.636719 1731279249.3033
MEM 313.527344 1731279249.4039
MEM 314.140625 1731279249.5041
MEM 314.976562 1731279249.6047
MEM 315.847656 1731279249.7052
MEM 316.480469 1731279249.8057
MEM 317.347656 1731279249.9064
MEM 318.226562 1731279250.0067
MEM 318.855469 1731279250.1073
MEM 319.742188 1731279250.2078
MEM 320.375000 1731279250.3083
MEM 321.253906 1731279250.4086
MEM 322.136719 1731279250.5092
MEM 322.699219 1731279250.6097
MEM 323.628906 1731279250.7103
MEM 324.511719 1731279250.8106
MEM 325.144531 1731279250.9112
MEM 325.968750 1731279251.0118
MEM 326.585938 1731279251.1121
MEM 327.472656 1731279251.2126
MEM 328.343750 1731279251.3133
MEM 329.046875 1731279251.4135
MEM 329.863281 1731279251.5140
MEM 330.742188 1731279251.6146
MEM 331.355469 1731279251.7150
MEM 332.246094 1731279251.8155
MEM 333.125000 1731279251.9161
MEM 333.750000 1731279252.0167
MEM 334.621094 1731279252.1174
MEM 335.503906 1731279252.2179
MEM 336.132812 1731279252.3185
MEM 337.000000 1731279252.4189
MEM 337.566406 1731279252.5195
MEM 338.433594 1731279252.6201
MEM 339.320312 1731279252.7203
MEM 339.949219 1731279252.8208
MEM 340.832031 1731279252.9212
MEM 341.777344 1731279253.0214
MEM 342.398438 1731279253.1217
MEM 343.285156 1731279253.2220
MEM 344.167969 1731279253.3226
MEM 344.781250 1731279253.4231
MEM 345.609375 1731279253.5237
MEM 346.500000 1731279253.6243
MEM 347.175781 1731279253.7249
MEM 347.980469 1731279253.8253
MEM 348.878906 1731279253.9256
MEM 349.507812 1731279254.0260
MEM 350.378906 1731279254.1263
MEM 351.007812 1731279254.2267
MEM 351.828125 1731279254.3273
MEM 352.757812 1731279254.4277
MEM 353.324219 1731279254.5282
MEM 354.214844 1731279254.6287
MEM 355.085938 1731279254.7290
MEM 355.714844 1731279254.8293
MEM 356.535156 1731279254.9296
MEM 357.421875 1731279255.0303
MEM 358.027344 1731279255.1309
MEM 358.925781 1731279255.2315
MEM 359.808594 1731279255.3317
MEM 360.421875 1731279255.4323
MEM 361.304688 1731279255.5327
MEM 361.937500 1731279255.6333
MEM 362.804688 1731279255.7338
MEM 363.625000 1731279255.8342
MEM 364.253906 1731279255.9344
MEM 365.136719 1731279256.0349
MEM 366.019531 1731279256.1355
MEM 366.644531 1731279256.2360
MEM 367.523438 1731279256.3362
MEM 368.402344 1731279256.4369
MEM 368.964844 1731279256.5374
MEM 369.843750 1731279256.6376
MEM 370.703125 1731279256.7383
MEM 371.339844 1731279256.8387
MEM 372.222656 1731279256.9394
MEM 372.851562 1731279257.0398
MEM 373.718750 1731279257.1405
MEM 374.550781 1731279257.2409
MEM 375.171875 1731279257.3414
MEM 376.039062 1731279257.4416
MEM 376.921875 1731279257.5421
MEM 377.550781 1731279257.6428
MEM 378.386719 1731279257.7433
MEM 379.304688 1731279257.8438
MEM 379.933594 1731279257.9443
MEM 380.816406 1731279258.0448
MEM 381.640625 1731279258.1453
MEM 382.316406 1731279258.2458
MEM 383.136719 1731279258.3464
MEM 383.750000 1731279258.4466
MEM 384.625000 1731279258.5472
MEM 385.300781 1731279258.6477
MEM 386.183594 1731279258.7483
MEM 387.062500 1731279258.8486
MEM 387.687500 1731279258.9489
MEM 388.566406 1731279259.0492
MEM 389.445312 1731279259.1497
MEM 390.007812 1731279259.2503
MEM 390.886719 1731279259.3507
MEM 391.480469 1731279259.4510
MEM 392.382812 1731279259.5513
MEM 393.265625 1731279259.6515
MEM 393.832031 1731279259.7519
MEM 394.687500 1731279259.8526
MEM 395.585938 1731279259.9531
MEM 396.214844 1731279260.0537
MEM 397.082031 1731279260.1544
MEM 397.964844 1731279260.2550
MEM 398.597656 1731279260.3554
MEM 399.464844 1731279260.4560
MEM 400.289062 1731279260.5565
MEM 400.917969 1731279260.6568
MEM 401.781250 1731279260.7572
MEM 402.417969 1731279260.8574
MEM 403.300781 1731279260.9580
MEM 404.183594 1731279261.0586
MEM 404.796875 1731279261.1592
MEM 405.617188 1731279261.2599
MEM 406.500000 1731279261.3602
MEM 407.113281 1731279261.4608
MEM 408.007812 1731279261.5611
MEM 408.886719 1731279261.6615
MEM 409.449219 1731279261.7620
MEM 410.390625 1731279261.8623
MEM 411.207031 1731279261.9625
MEM 411.816406 1731279262.0628
MEM 412.699219 1731279262.1635
MEM 413.328125 1731279262.2641
MEM 414.210938 1731279262.3646
MEM 415.046875 1731279262.4651
MEM 415.757812 1731279262.5654
MEM 416.585938 1731279262.6657
MEM 417.468750 1731279262.7664
MEM 418.089844 1731279262.8666
MEM 418.976562 1731279262.9672
MEM 419.796875 1731279263.0676
MEM 420.410156 1731279263.1677
MEM 421.292969 1731279263.2680
MEM 422.136719 1731279263.3686
MEM 422.804688 1731279263.4691
MEM 423.675781 1731279263.5693
MEM 424.312500 1731279263.6698
MEM 425.195312 1731279263.7708
MEM 426.070312 1731279263.8711
MEM 426.636719 1731279263.9713
MEM 427.523438 1731279264.0719
MEM 428.402344 1731279264.1725
MEM 429.027344 1731279264.2727
MEM 429.906250 1731279264.3730
MEM 430.785156 1731279264.4736
MEM 431.378906 1731279264.5742
MEM 432.289062 1731279264.6749
MEM 433.167969 1731279264.7753
MEM 433.781250 1731279264.8760
MEM 434.601562 1731279264.9767
MEM 435.234375 1731279265.0770
MEM 436.054688 1731279265.1774
MEM 436.921875 1731279265.2775
MEM 437.550781 1731279265.3779
MEM 438.433594 1731279265.4781
MEM 439.300781 1731279265.5787
MEM 439.933594 1731279265.6790
MEM 440.859375 1731279265.7793
MEM 441.675781 1731279265.8796
MEM 442.363281 1731279265.9799
MEM 442.996094 1731279266.0808
MEM 443.863281 1731279266.1815
MEM 444.503906 1731279266.2818
MEM 445.386719 1731279266.3822
MEM 445.953125 1731279266.4824
MEM 446.820312 1731279266.5830
MEM 447.707031 1731279266.6836
MEM 448.335938 1731279266.7840
MEM 449.214844 1731279266.8844
MEM 450.101562 1731279266.9849
MEM 450.664062 1731279267.0853
MEM 451.542969 1731279267.1859
MEM 452.406250 1731279267.2864
MEM 453.042969 1731279267.3869
MEM 453.937500 1731279267.4873
MEM 454.804688 1731279267.5879
MEM 455.433594 1731279267.6882
MEM 456.320312 1731279267.7889
MEM 456.863281 1731279267.8891
MEM 457.753906 1731279267.9897
MEM 458.636719 1731279268.0902
MEM 459.234375 1731279268.1905
MEM 460.101562 1731279268.2910
MEM 460.988281 1731279268.3912
MEM 461.617188 1731279268.4919
MEM 462.441406 1731279268.5921
MEM 463.320312 1731279268.6923
MEM 463.886719 1731279268.7929
MEM 464.769531 1731279268.8932
MEM 465.324219 1731279268.9936
MEM 466.207031 1731279269.0942
MEM 467.027344 1731279269.1948
MEM 467.640625 1731279269.2955
MEM 468.523438 1731279269.3959
MEM 469.089844 1731279269.4964
MEM 469.972656 1731279269.5970
MEM 470.804688 1731279269.6976
MEM 471.429688 1731279269.7979
MEM 472.347656 1731279269.8985
MEM 472.960938 1731279269.9991
MEM 473.781250 1731279270.0997
MEM 474.414062 1731279270.2004
MEM 475.265625 1731279270.3010
MEM 476.164062 1731279270.4014
MEM 476.761719 1731279270.5020
MEM 477.613281 1731279270.6023
MEM 478.500000 1731279270.7028
MEM 479.128906 1731279270.8035
MEM 480.011719 1731279270.9039
MEM 480.878906 1731279271.0044
MEM 481.445312 1731279271.1049
MEM 482.328125 1731279271.2056
MEM 482.933594 1731279271.3060
MEM 483.843750 1731279271.4064
MEM 484.726562 1731279271.5072
MEM 485.304688 1731279271.6076
MEM 486.171875 1731279271.7082
MEM 487.117188 1731279271.8086
MEM 487.687500 1731279271.9089
MEM 488.554688 1731279272.0095
MEM 489.437500 1731279272.1102
MEM 490.019531 1731279272.2106
MEM 490.839844 1731279272.3109
MEM 491.472656 1731279272.4112
MEM 492.292969 1731279272.5113
MEM 493.128906 1731279272.6116
MEM 493.753906 1731279272.7122
MEM 494.636719 1731279272.8128
MEM 495.515625 1731279272.9134
MEM 496.140625 1731279273.0137
MEM 496.957031 1731279273.1139
MEM 497.597656 1731279273.2144
MEM 498.414062 1731279273.3149
MEM 499.281250 1731279273.4153
MEM 499.847656 1731279273.5157
MEM 500.734375 1731279273.6160
MEM 501.558594 1731279273.7166
MEM 502.187500 1731279273.8172
MEM 503.066406 1731279273.9180
MEM 503.691406 1731279274.0187
MEM 504.507812 1731279274.1191
MEM 505.386719 1731279274.2194
MEM 506.015625 1731279274.3201
MEM 506.894531 1731279274.4204
MEM 507.500000 1731279274.5210
MEM 508.371094 1731279274.6212
MEM 508.996094 1731279274.7217
MEM 509.835938 1731279274.8223
MEM 510.683594 1731279274.9227
MEM 511.320312 1731279275.0233
MEM 512.187500 1731279275.1238
MEM 513.070312 1731279275.2247
MEM 513.703125 1731279275.3254
MEM 514.539062 1731279275.4260
MEM 515.457031 1731279275.5263
MEM 516.085938 1731279275.6265
MEM 516.914062 1731279275.7271
MEM 517.531250 1731279275.8277
MEM 518.425781 1731279275.9281
MEM 519.308594 1731279276.0285
MEM 519.906250 1731279276.1288
MEM 520.812500 1731279276.2293
MEM 521.632812 1731279276.3296
MEM 522.273438 1731279276.4299
MEM 523.144531 1731279276.5304
MEM 524.023438 1731279276.6309
MEM 524.648438 1731279276.7315
MEM 525.523438 1731279276.8320
MEM 526.410156 1731279276.9326
MEM 527.039062 1731279277.0330
MEM 527.906250 1731279277.1332
MEM 528.472656 1731279277.2338
MEM 529.355469 1731279277.3345
MEM 530.210938 1731279277.4349
MEM 530.855469 1731279277.5350
MEM 531.675781 1731279277.6353
MEM 532.558594 1731279277.7355
MEM 533.183594 1731279277.8358
MEM 534.062500 1731279277.9362
MEM 534.941406 1731279278.0368
MEM 535.566406 1731279278.1372
MEM 536.558594 1731279278.2378
MEM 537.437500 1731279278.3385
MEM 538.062500 1731279278.4391
MEM 538.878906 1731279278.5395
MEM 539.503906 1731279278.6400
MEM 540.335938 1731279278.7406
MEM 541.250000 1731279278.8408
MEM 541.816406 1731279278.9410
MEM 542.636719 1731279279.0416
MEM 543.140625 1731279279.1421
MEM 544.011719 1731279279.2422
MEM 544.894531 1731279279.3427
MEM 545.460938 1731279279.4430
MEM 546.328125 1731279279.5433
MEM 547.210938 1731279279.6437
MEM 547.839844 1731279279.7444
MEM 548.625000 1731279279.8447
MEM 549.214844 1731279279.9453
MEM 550.035156 1731279280.0455
MEM 550.917969 1731279280.1457
MEM 551.531250 1731279280.2461
MEM 552.414062 1731279280.3466
MEM 553.242188 1731279280.4471
MEM 553.855469 1731279280.5475
MEM 554.746094 1731279280.6480
MEM 555.625000 1731279280.7485
MEM 556.199219 1731279280.8487
MEM 557.128906 1731279280.9488
MEM 558.007812 1731279281.0492
MEM 558.570312 1731279281.1497
MEM 559.441406 1731279281.2500
MEM 560.074219 1731279281.3503
MEM 560.953125 1731279281.4505
MEM 561.800781 1731279281.5509
MEM 562.460938 1731279281.6515
MEM 563.343750 1731279281.7516
MEM 564.164062 1731279281.8519
MEM 564.777344 1731279281.9524
MEM 565.664062 1731279282.0528
MEM 566.519531 1731279282.1533
MEM 567.160156 1731279282.2538
MEM 568.042969 1731279282.3543
MEM 568.925781 1731279282.4547
MEM 569.636719 1731279282.5552
MEM 570.531250 1731279282.6557
MEM 571.414062 1731279282.7558
MEM 572.097656 1731279282.8564
MEM 572.968750 1731279282.9568
MEM 573.609375 1731279283.0570
MEM 574.492188 1731279283.1575
MEM 575.117188 1731279283.2582
MEM 575.996094 1731279283.3588
MEM 576.765625 1731279283.4592
MEM 577.355469 1731279283.5595
MEM 578.269531 1731279283.6602
MEM 579.093750 1731279283.7608
MEM 579.773438 1731279283.8612
MEM 580.652344 1731279283.9617
MEM 581.277344 1731279284.0630
MEM 582.156250 1731279284.1635
