CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree2.py
MEM 1.855469 1731279307.8789
MEM 27.625000 1731279307.9872
MEM 40.820312 1731279308.0877
MEM 52.648438 1731279308.1880
MEM 71.570312 1731279308.2883
MEM 89.906250 1731279308.3884
MEM 94.894531 1731279308.4887
MEM 156.722656 1731279308.5889
MEM 199.394531 1731279308.6894
MEM 186.667969 1731279308.7899
MEM 186.671875 1731279308.8900
MEM 186.671875 1731279308.9903
MEM 186.671875 1731279309.0906
MEM 186.671875 1731279309.1911
MEM 186.671875 1731279309.2913
MEM 186.671875 1731279309.3918
MEM 186.671875 1731279309.4923
MEM 186.671875 1731279309.5924
MEM 186.671875 1731279309.6928
MEM 186.671875 1731279309.7933
MEM 186.671875 1731279309.8939
MEM 186.671875 1731279309.9943
MEM 186.671875 1731279310.0946
MEM 186.671875 1731279310.1949
MEM 186.671875 1731279310.2953
MEM 186.671875 1731279310.3958
MEM 186.667969 1731279310.4962
MEM 186.667969 1731279310.5969
MEM 186.667969 1731279310.6971
MEM 186.667969 1731279310.7972
MEM 186.667969 1731279310.8976
MEM 186.667969 1731279310.9981
MEM 186.667969 1731279311.0985
MEM 186.667969 1731279311.1990
MEM 186.667969 1731279311.2994
MEM 186.667969 1731279311.3997
MEM 186.667969 1731279311.5002
MEM 186.667969 1731279311.6008
MEM 186.667969 1731279311.7015
MEM 186.667969 1731279311.8017
MEM 186.667969 1731279311.9021
MEM 186.667969 1731279312.0026
MEM 186.667969 1731279312.1029
MEM 186.667969 1731279312.2032
MEM 186.667969 1731279312.3036
MEM 186.667969 1731279312.4041
MEM 186.667969 1731279312.5047
MEM 186.667969 1731279312.6052
MEM 186.667969 1731279312.7055
MEM 186.667969 1731279312.8058
MEM 186.667969 1731279312.9064
MEM 186.667969 1731279313.0068
MEM 186.667969 1731279313.1074
MEM 186.667969 1731279313.2079
MEM 186.667969 1731279313.3082
MEM 186.667969 1731279313.4084
MEM 186.667969 1731279313.5087
MEM 186.667969 1731279313.6089
MEM 186.667969 1731279313.7090
MEM 186.667969 1731279313.8092
MEM 186.667969 1731279313.9094
MEM 186.667969 1731279314.0096
MEM 186.667969 1731279314.1101
MEM 186.835938 1731279314.2106
MEM 186.867188 1731279314.3108
MEM 186.867188 1731279314.4111
MEM 186.867188 1731279314.5117
MEM 186.867188 1731279314.6122
MEM 186.867188 1731279314.7127
MEM 186.867188 1731279314.8133
MEM 186.867188 1731279314.9137
MEM 186.867188 1731279315.0139
MEM 186.867188 1731279315.1142
MEM 186.867188 1731279315.2143
MEM 186.867188 1731279315.3146
MEM 186.867188 1731279315.4150
MEM 186.867188 1731279315.5151
MEM 186.867188 1731279315.6155
MEM 186.867188 1731279315.7157
