CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe InsertBthree.py
MEM 1.593750 1729974069.2804
MEM 26.589844 1729974069.3826
MEM 39.488281 1729974069.4830
MEM 51.101562 1729974069.5832
MEM 66.105469 1729974069.6837
MEM 74.210938 1729974069.7840
MEM 81.113281 1729974069.8843
MEM 87.460938 1729974069.9845
MEM 92.507812 1729974070.0850
MEM 125.894531 1729974070.1855
MEM 188.671875 1729974070.2858
MEM 183.847656 1729974070.3860
MEM 184.257812 1729974070.4862
MEM 185.132812 1729974070.5868
MEM 185.863281 1729974070.6872
MEM 186.531250 1729974070.7877
MEM 187.324219 1729974070.8882
MEM 188.054688 1729974070.9884
MEM 188.695312 1729974071.0888
MEM 189.597656 1729974071.1893
MEM 190.472656 1729974071.2896
MEM 191.148438 1729974071.3898
MEM 192.050781 1729974071.4900
MEM 192.972656 1729974071.5908
MEM 193.703125 1729974071.6916
MEM 194.609375 1729974071.7920
MEM 195.527344 1729974071.8926
MEM 196.222656 1729974071.9928
MEM 197.132812 1729974072.0931
MEM 198.015625 1729974072.1936
MEM 198.652344 1729974072.2937
MEM 199.542969 1729974072.3942
MEM 200.250000 1729974072.4944
MEM 201.164062 1729974072.5946
MEM 201.816406 1729974072.6948
MEM 202.726562 1729974072.7950
MEM 203.625000 1729974072.8952
MEM 204.250000 1729974072.9959
MEM 205.101562 1729974073.0963
MEM 205.972656 1729974073.1966
MEM 206.613281 1729974073.2967
MEM 207.500000 1729974073.3970
MEM 208.398438 1729974073.4971
MEM 209.046875 1729974073.5976
MEM 209.933594 1729974073.6977
MEM 210.832031 1729974073.7980
MEM 211.468750 1729974073.8981
MEM 212.375000 1729974073.9984
MEM 213.285156 1729974074.0989
MEM 213.964844 1729974074.1991
MEM 214.894531 1729974074.2994
MEM 215.804688 1729974074.3996
MEM 216.480469 1729974074.5002
MEM 217.402344 1729974074.6005
MEM 218.289062 1729974074.7007
MEM 218.921875 1729974074.8009
MEM 219.808594 1729974074.9011
MEM 220.718750 1729974075.0018
MEM 221.312500 1729974075.1020
MEM 222.167969 1729974075.2022
MEM 222.785156 1729974075.3028
MEM 223.664062 1729974075.4031
MEM 224.574219 1729974075.5032
MEM 225.226562 1729974075.6034
MEM 226.140625 1729974075.7037
MEM 227.042969 1729974075.8041
MEM 227.648438 1729974075.9042
MEM 228.527344 1729974076.0045
MEM 229.429688 1729974076.1047
MEM 230.101562 1729974076.2053
